Found 58 assignments.
ID: 4207889, Title: 8주차  과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4207889
ID: 4211081, Title: Paper presentation video, Due Date: 'Nov 30 (11:59pm).', URL: https://ys.learnus.org/mod/assign/view.php?id=4211081
ID: 4215526, Title: 9주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4215526
ID: 4224886, Title: Homework 5: Hyperparameter Search, Due Date: 'Nov 23 (11:59pm).', URL: https://ys.learnus.org/mod/assign/view.php?id=4224886
ID: 4225133, Title: 10주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4225133
ID: 4234677, Title: 11주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4234677
ID: 4239775, Title: Homework 6: AI Model Pipeline, Due Date: 'Dec 14 (11:59pm).', URL: https://ys.learnus.org/mod/assign/view.php?id=4239775
ID: 4243690, Title: 12주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4243690
ID: 4252962, Title: 13주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4252962
ID: 4254719, Title: Quiz 2, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4254719
